id,category,resolution,size,thumbnail_url,image_url,main_image,tags,Trends
1,Animals,1440x3120,1.94 MB,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/1_thumbnail.jpg,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/1_preview.jpg,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/1_main.jpg,"Animals,شیر",false
2,angry birds,1080x2340,1.85 MB,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/2_thumbnail.jpg,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/2_preview.jpg,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/2_original.jpg,"انگیریبردز, angty birds, پردگان خشمگین",false
3,angry birds,1080x2340,1.93 MB,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/3_thumbnail.jpg,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/3_preview.jpg,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/3_original.jpg,"انگیریبردز, angty birds, پردگان خشمگین",true
4,angry birds,1080x2340,1.79 MB,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/4_thumbnail.jpg,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/4_preview.jpg,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/4_original.jpg,"انگیریبردز, angty birds, پردگان خشمگین",true
5,angry birds,1080x2340,1.95 MB,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/5_thumbnail.jpg,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/5_preview.jpg,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/5_original.jpg,"انگیریبردز, angty birds, پردگان خشمگین",true
6,angry birds,1080x2340,1.45 MB,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/6_thumbnail.jpg,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/6_preview.jpg,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/6_original.jpg,"انگیریبردز, angty birds, پردگان خشمگین",false
7,nuture,1080x2400,1.39 MB,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/7_thumbnail.jpg,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/7_preview.jpg,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/7_original.jpg,"nuture, night,moon,شب, ماه, طبیعت",true
8,nuture,4320x7680,32.72 MB,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/8_thumbnail.jpg,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/8_preview.jpg,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/8_original.jpg,"دریا,ساحل,طبیعت,nuture",true
9,nuture,3240x7184,14.31 MB,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/9_thumbnail.jpg,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/9_preview.jpg,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/9_original.jpg,"دریا,درخت,کاج,nuture,افتاب",true
10,car,5131x7693,8.25 MB,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/10_thumbnail.jpg,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/10_preview.jpg,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/10_original.jpg,"ماشین,زرد,car",true
11,None,1080x2340,1.30 MB,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/11_thumbnail.jpg,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/11_preview.jpg,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/11_original.jpg,"car,ماشین",true
12,car,2880x5120,8.24 MB,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/12_thumbnail.jpg,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/12_preview.jpg,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/12_original.jpg,"ماشین,قرمز,car",true
13,nuture,2944x6620,9.86 MB,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/13_thumbnail.jpg,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/13_preview.jpg,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/13_original.jpg,"زمین,فضا,nuture",true
14,nuture,3519x5278,8.54 MB,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/14_thumbnail.jpg,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/14_preview.jpg,https://raw.githubusercontent.com/Amirmashhori/wallpaiper_repo/Game/14_original.jpg,"دریا,سنگ,nuture",false
